model_id,file_id,frame_id,bald,entropy,dice
1,295,6941,369.58408,10673.325,0.9950655927263203
1,295,6942,303.78146,10597.938,0.9957913593471538
1,295,6943,273.83664,9962.284,0.9955762895695299
1,295,6944,325.22446,10589.146,0.9957936870273028
1,295,6945,306.81964,10403.935,0.9963344559586195
1,295,6946,247.03267,9821.378,0.9966852423494532
1,295,6947,956.90247,12154.544,0.9961142227861378
1,295,6948,941.6052,13953.369,0.9939919578820784
1,295,6949,359.39545,11080.619,0.9953628379708256
1,295,6950,400.54388,10957.69,0.9951290222122857
1,295,6951,689.1984,12349.605,0.9954680099737024
1,295,6952,366.4096,10801.902,0.9951867735448645
1,295,6953,428.26752,11373.62,0.9951181424132061
1,295,6954,387.53214,11002.953,0.9953798971333983
1,295,6955,439.5093,11182.39,0.9953050601097004
1,295,6956,1096.4752,11733.713,0.9953813488126824
1,295,6957,450.98383,10224.896,0.9953949134385199
1,295,6958,217.11797,9638.542,0.9960943329753469
1,295,6959,349.17975,9891.788,0.9955824687582494
1,295,6960,339.07217,11875.109,0.9949298907557634
1,295,6961,1871.3455,16310.414,0.992498329418067
1,295,6962,1306.147,16258.54,0.9918740466523839
1,2084,49248,1047.5288,16405.277,0.9959297951994082
1,2084,49249,1763.0898,15869.163,0.9956720682808692
1,2084,49250,737.79596,14006.284,0.9965088498941466
1,2084,49251,932.8188,15916.891,0.996331386026286
1,2084,49252,1053.0089,18969.977,0.9934141458035339
1,2084,49253,545.0814,14978.869,0.9961248403260992
1,2084,49254,1443.4822,16535.19,0.9957594148167679
1,2084,49255,990.8334,14907.566,0.9960937200836789
1,2084,49256,483.19138,14188.127,0.9965088661697578
1,2084,49257,456.43942,13934.031,0.9956316680771052
1,2084,49258,1355.4097,16075.698,0.9963854620167337
1,2084,49259,615.8568,15138.137,0.996014863343445
1,2084,49260,1157.996,16786.162,0.9956912751888015
1,2084,49261,1270.5991,15491.111,0.9965577268193179
1,2084,49262,1135.4453,16132.168,0.9962243533198133
1,2084,49263,1705.2543,16214.512,0.995486019326292
1,2084,49264,1839.6135,16017.13,0.9963057416770496
1,2084,49265,3033.9844,19979.58,0.9963565715142992
1,2084,49266,3253.798,21261.533,0.9955694285546335
1,2084,49267,1914.2627,19076.31,0.9964653621394868
1,2084,49268,2016.2826,20541.596,0.9954786128514781
1,2084,49269,2225.4297,18200.924,0.9960286075738328
1,2084,49270,1474.2676,18880.014,0.9961172646349933
1,2084,49271,3575.1248,22670.115,0.9956229241308433
1,3745,88854,4852.4736,38387.04,0.9911691180649758
1,3745,88855,6638.8687,45586.64,0.9815920752151077
1,3745,88856,4243.378,40066.55,0.9785761746667017
1,3745,88857,3792.8384,47127.977,0.9686028138294542
1,3745,88858,6294.479,46028.56,0.9641188474113895
1,3745,88859,4371.5215,47110.73,0.9648884089507441
1,3745,88860,3493.8596,45279.984,0.9658509376657598
1,3745,88861,4456.9043,53649.83,0.9653572936462741
1,3745,88862,5432.6064,51540.895,0.965421353475327
1,3745,88863,8090.0835,52966.47,0.9727202957448333
1,3745,88864,4111.9624,47150.445,0.9730784299199944
1,3745,88865,4403.82,41658.99,0.9831785379703121
1,3745,88866,3829.014,40030.07,0.9870251575138618
1,3745,88867,3763.564,31812.775,0.992759581080394
1,3745,88868,5580.5654,35845.023,0.9902925240230571
1,3745,88869,4801.502,30663.857,0.9934466900028482
1,3745,88870,1780.2357,27681.934,0.9937650832458373
1,3745,88871,4064.1736,27981.52,0.9935536460293535
1,3745,88872,2281.2415,35822.27,0.9852633620363231
1,3745,88873,4029.526,39727.07,0.9788692541708798
1,3745,88874,4925.813,38788.652,0.9748306044689038
1,3745,88875,3246.2573,42156.18,0.9692797858871222
1,3745,88876,5343.1304,44846.156,0.9693225264301638
1,4027,95584,4025.8525,46489.848,0.9414224670608269
1,4027,95585,6816.154,53199.266,0.9548261757912937
1,4027,95586,3879.0364,46112.74,0.9413237683176658
1,4027,95587,6887.087,50950.426,0.9363981284931712
1,4027,95588,4750.5874,51658.453,0.9447042349483853
1,4027,95589,5046.8584,47150.29,0.9469213503325166
1,4027,95590,6425.588,54348.75,0.9366992153218768
1,4027,95591,4921.693,52386.105,0.9411030228969481
1,4027,95592,4849.5566,51481.965,0.9544663569596443
1,4027,95593,4652.7285,49925.133,0.9531690686173523
1,4027,95594,6051.052,59294.863,0.9422662296697731
1,4027,95595,5478.665,56687.56,0.9489809755165137
1,4027,95596,7455.9175,56396.04,0.9649524144541936
1,4027,95597,5213.074,57564.49,0.9554952978673924
1,4027,95598,4955.901,55995.4,0.9495032843085711
1,4027,95599,7363.229,59904.156,0.9598212040845777
1,4027,95600,6960.4487,59155.664,0.9624157451033833
1,4027,95601,4304.3564,59143.277,0.9543293485112189
1,4027,95602,4900.775,58144.074,0.9510582133700861
1,4027,95603,7528.042,58849.527,0.9574804821322664
1,4027,95604,7052.511,60251.11,0.9613976016388
1,4027,95605,6327.1597,62433.438,0.9487885687784884
1,4027,95606,5908.3076,61605.39,0.9502780815925741
1,4027,95607,5575.88,60963.49,0.9505927918360427
1,4782,113601,4276.5596,39472.43,0.9711855416949875
1,4782,113602,3517.0247,37478.645,0.9762116589849211
1,4782,113603,3449.3647,39493.34,0.9832524926046818
1,4782,113604,5387.7344,40012.285,0.9827546531092151
1,4782,113605,4762.277,42139.64,0.9804286686551428
1,4782,113606,4784.2837,47694.117,0.9803178954777343
