file_id,frame_id,randolphs_kappa
7179,193455,0.956
7179,193456,0.957
7179,193457,0.967
7179,193458,0.966
7179,193459,0.968
7179,193460,0.954
7179,193461,0.963
7179,193462,0.97
7179,193463,0.97
7179,193464,0.966
7179,193465,0.966
7179,193466,0.96
7179,193467,0.966
7179,193468,0.964
7179,193469,0.968
7179,193470,0.961
7179,193471,0.963
7179,193472,0.962
7179,193473,0.956
7179,193474,0.964
7179,193475,0.96
7179,193476,0.963
7179,193477,0.963
7179,193478,0.961
7179,193479,0.967
7179,193480,0.97
7179,193481,0.967
7179,193482,0.964
7179,193483,0.963
7179,193484,0.964
7179,193485,0.962
7179,193486,0.963
7179,193487,0.965
7179,193488,0.967
7193,194097,0.973
7193,194098,0.971
7193,194099,0.972
7193,194100,0.974
7193,194101,0.972
7193,194102,0.968
7193,194103,0.97
7193,194104,0.959
7193,194105,0.962
7193,194106,0.964
7193,194107,0.969
7193,194108,0.959
7193,194109,0.925
7193,194110,0.954
7193,194111,0.961
7193,194112,0.964
7193,194113,0.975
7193,194114,0.972
7193,194115,0.969
7193,194116,0.975
7193,194117,0.968
7193,194118,0.969
7193,194119,0.953
7193,194120,0.96
7193,194121,0.97
7193,194122,0.965
7193,194123,0.967
7193,194124,0.966
7193,194125,0.971
7193,194126,0.966
7193,194127,0.969
7193,194128,0.971
7193,194129,0.966
7193,194130,0.967
7193,194131,0.969
7193,194132,0.972
7193,194133,0.971
7193,194134,0.971
7193,194135,0.961
7193,194136,0.973
7193,194137,0.971
7193,194138,0.971
7193,194139,0.971
7193,194140,0.97
7193,194141,0.972
7193,194142,0.973
7193,194143,0.972
7193,194144,0.97
7193,194145,0.972
7353,201731,0.971
7353,201732,0.971
7353,201733,0.969
7353,201734,0.972
7353,201735,0.969
7353,201736,0.971
7353,201737,0.958
7353,201738,0.961
7353,201739,0.959
7353,201740,0.964
7353,201741,0.959
7353,201742,0.965
7353,201743,0.965
7353,201744,0.964
7353,201745,0.962
7353,201746,0.96
7353,201747,0.971
7353,201748,0.967
7353,201749,0.97
7353,201750,0.971
7353,201751,0.957
7353,201752,0.975
7353,201753,0.97
7353,201754,0.972
7353,201755,0.973
7353,201756,0.973
7353,201757,0.968
7353,201758,0.97
7353,201759,0.974
7353,201760,0.971
7353,201761,0.975
7353,201762,0.975
7353,201763,0.975
7353,201764,0.977
7353,201765,0.976
7353,201766,0.976
7353,201767,0.973
7353,201768,0.979
7353,201769,0.977
7353,201770,0.975
7353,201771,0.966
7353,201772,0.955
7353,201773,0.965
7353,201774,0.958
7353,201775,0.966
7353,201776,0.959
7353,201777,0.962
7353,201778,0.956
7353,201779,0.959
7357,201927,0.9
7357,201928,0.918
7357,201929,0.947
7357,201930,0.799
7357,201931,0.939
7357,201932,0.948
7357,201933,0.95
7357,201934,0.907
7357,201935,0.951
7357,201936,0.956
7357,201937,0.955
7357,201938,0.958
7357,201939,0.958
7357,201940,0.956
7357,201941,0.94
7357,201942,0.944
7357,201943,0.855
7357,201944,0.951
7357,201945,0.949
7357,201946,0.957
7357,201947,0.952
7357,201948,0.958
7357,201949,0.969
7357,201950,0.974
7357,201951,0.977
7357,201952,0.977
7357,201953,0.97
7357,201954,0.974
7357,201955,0.976
7357,201956,0.971
7357,201957,0.971
7357,201958,0.977
7357,201959,0.965
7357,201960,0.971
7357,201961,0.971
7357,201962,0.969
7357,201963,0.966
7357,201964,0.972
7357,201965,0.971
7357,201966,0.974
7357,201967,0.976
7357,201968,0.975
7357,201969,0.97
7357,201970,0.975
7357,201971,0.971
7357,201972,0.977
7357,201973,0.976
7357,201974,0.975
7357,201975,0.972
7364,202237,0.959
7364,202238,0.969
7364,202239,0.968
7364,202240,0.963
7364,202241,0.962
7364,202242,0.96
7364,202243,0.964
7364,202244,0.964
7364,202245,0.954
7364,202246,0.961
7364,202247,0.955
7364,202248,0.955
7364,202249,0.957
7364,202250,0.956
7364,202251,0.959
7364,202252,0.957
7364,202253,0.962
7364,202254,0.967
7364,202255,0.957
7364,202256,0.964
7364,202257,0.963
7364,202258,0.963
7364,202259,0.964
7364,202260,0.964
7364,202261,0.963
7364,202262,0.965
7364,202263,0.962
7364,202264,0.963
7364,202265,0.967
7364,202266,0.959
7364,202267,0.958
7364,202268,0.961
7364,202269,0.959
7364,202270,0.967
7364,202271,0.963
7364,202272,0.954
7364,202273,0.958
7364,202274,0.964
7364,202275,0.966
7364,202276,0.966
7364,202277,0.962
7364,202278,0.959
7364,202279,0.963
7364,202280,0.963
7364,202281,0.97
7364,202282,0.964
7364,202283,0.965
7364,202284,0.961
7364,202285,0.96
7368,202433,0.824
7368,202434,0.949
7368,202435,0.968
7368,202436,0.968
7368,202437,0.972
7368,202438,0.966
7368,202439,0.927
7368,202440,0.909
7368,202441,0.896
7368,202442,0.829
7368,202443,0.813
7368,202444,0.739
7368,202445,0.782
7368,202446,0.944
7368,202447,0.968
7368,202448,0.92
7368,202449,0.857
7368,202450,0.863
7368,202451,0.959
7368,202452,0.969
7368,202453,0.966
7368,202454,0.971
7368,202455,0.973
7368,202456,0.969
7368,202457,0.965
7368,202458,0.974
7368,202459,0.967
7368,202460,0.972
7368,202461,0.969
7368,202462,0.971
7368,202463,0.97
7368,202464,0.969
7368,202465,0.962
7368,202466,0.945
7368,202467,0.943
7368,202468,0.946
7368,202469,0.973
7368,202470,0.974
7369,202471,0.845
7369,202472,0.847
7369,202473,0.844
7369,202474,0.852
7369,202475,0.848
7369,202476,0.848
7369,202477,0.846
7369,202478,0.846
7369,202479,0.85
7369,202480,0.846
7369,202481,0.849
7369,202482,0.85
7369,202483,0.842
7369,202484,0.854
7369,202485,0.972
7369,202486,0.975
7369,202487,0.842
7369,202488,0.85
7369,202489,0.849
7369,202490,0.849
7369,202491,0.846
7369,202492,0.845
7369,202493,0.844
7369,202494,0.848
7369,202495,0.847
7369,202496,0.85
7369,202497,0.846
7369,202498,0.839
7369,202499,0.84
7369,202500,0.845
7369,202501,0.847
7369,202502,0.847
7369,202503,0.846
7369,202504,0.838
7369,202505,0.842
7369,202506,0.842
7369,202507,0.844
7369,202508,0.846
7369,202509,0.842
7369,202510,0.839
7369,202511,0.847
7369,202512,0.845
7369,202513,0.847
7369,202514,0.847
7369,202515,0.843
7369,202516,0.847
7369,202517,0.845
7369,202518,0.844
7369,202519,0.843
7382,203041,0.837
7382,203042,0.832
7382,203043,0.835
7382,203044,0.834
7382,203045,0.836
7382,203046,0.835
7382,203047,0.835
7382,203048,0.839
7382,203049,0.836
7382,203050,0.836
7382,203051,0.831
7382,203052,0.831
7382,203053,0.835
7382,203054,0.835
7382,203055,0.829
7382,203056,0.836
7382,203057,0.838
7382,203058,0.836
7382,203059,0.837
7382,203060,0.838
7382,203061,0.834
7382,203062,0.837
7382,203063,0.832
7382,203064,0.833
7382,203065,0.834
7382,203066,0.832
7382,203067,0.831
7382,203068,0.837
7382,203069,0.835
7382,203070,0.836
7382,203071,0.82
7382,203072,0.834
7382,203073,0.835
7382,203074,0.837
7382,203075,0.829
7382,203076,0.834
7382,203077,0.835
7382,203078,0.833
7382,203079,0.836
7382,203080,0.833
7382,203081,0.832
7382,203082,0.829
7382,203083,0.834
7382,203084,0.834
7382,203085,0.835
7382,203086,0.827
7382,203087,0.829
7382,203088,0.836
7382,203089,0.833
7382,203090,0.837
7432,205247,0.968
7432,205248,0.968
7432,205249,0.964
7432,205250,0.967
7432,205251,0.966
7432,205252,0.967
7432,205253,0.964
7432,205254,0.965
7432,205255,0.964
7432,205256,0.962
7432,205257,0.965
7432,205258,0.967
7432,205259,0.971
7432,205260,0.966
7432,205261,0.971
7432,205262,0.97
7432,205263,0.965
7432,205264,0.969
7432,205265,0.963
7432,205266,0.969
7432,205267,0.963
7432,205268,0.966
7432,205269,0.972
7432,205270,0.969
7432,205271,0.966
7432,205272,0.968
7432,205273,0.964
7432,205274,0.961
7432,205275,0.969
7432,205276,0.972
7432,205277,0.97
7432,205278,0.971
7432,205279,0.969
7432,205280,0.969
7432,205281,0.967
7432,205282,0.968
7432,205283,0.972
7432,205284,0.968
7432,205285,0.969
7432,205286,0.966
7432,205287,0.967
7432,205288,0.967
7432,205289,0.97
7432,205290,0.97
7432,205291,0.968
7432,205292,0.968
7432,205293,0.964
7432,205294,0.967
7432,205295,0.971
7432,205296,0.972
7446,205913,0.976
7446,205914,0.978
7446,205915,0.978
7446,205916,0.971
7446,205917,0.975
7446,205918,0.976
7446,205919,0.978
7446,205920,0.975
7446,205921,0.974
7446,205922,0.976
7446,205923,0.973
7446,205924,0.98
7446,205925,0.978
7446,205926,0.978
7446,205927,0.977
7446,205928,0.976
7446,205929,0.977
7446,205930,0.978
7446,205931,0.978
7446,205932,0.98
7446,205933,0.978
